     DATA THROUGH 2011               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
26528TALKEETNA, AK                    57      8      8      8      7     11     12     14     16     15     12     10     11    132
26627UNALAKLEET, AK                   17      6      5      6      6      6      8     12     16     12     10      8      8    103
26442VALDEZ, AK                       39     16     14     14     14     15     14     17     17     20     19     15     17    192
25339YAKUTAT, AK                      65     19     18     19     18     18     16     18     18     21     24     21     22    232
03103FLAGSTAFF, AZ                    62      7      7      7      5      4      2     11     12      6      5      5      6     77
23183PHOENIX, AZ                      72      3      4      3      1      0      0      4      4      2      2      2      3     28
23160TUCSON, AZ                       71      4      3      3      1      1      1      9      9      4      3      2      4     44
23194WINSLOW, AZ                      80      4      4      4      3      2      1      6      8      5      3      3      4     47
23195YUMA, AZ                         45      3      2      2      1      *      *      1      2      1      1      1      2     16
13964FORT SMITH, AR                   66      7      7      9      9     10      8      7      6      7      7      7      7     91
13963LITTLE ROCK, AR                  69      9      9     10      9     10      8      8      6      7      7      8      9    100
03952NORTH LITTLE ROCK, AR            33      9      9      9      9     11      8      8      6      7      7      8      9    100
23155BAKERSFIELD, CA                  74      6      6      6      4      1      0      0      0      1      2      4      5     35
23157BISHOP, CA                       64      3      3      2      2      2      1      1      1      1      1      2      2     21
23225BLUE CANYON, CA                  64     12     11     12     10      7      3      0      1      2      6     10     13     87
24213EUREKA, CA.                     101     16     14     15     12      8      5      2      2      4      8     13     15    114
93193FRESNO, CA                       62      7      7      6      4      2      0      1      1      1      2      5      7     43
23129LONG BEACH, CA                   67      5      5      5      3      1      1      1      1      1      2      3      5     33
23174LOS ANGELES AP, CA               76      6      6      5      3      1      0      0      1      1      2      3      5     33
93134LOS ANGELES C.O., CA             71      6      5      5      3      1      0      1      1      1      2      3      5     33
24215MOUNT SHASTA, CA                 42     12     11     12      9      7      5      2      2      3      6     10     12     91
24257REDDING, CA                      25     12     11     11      8      6      3      0      0      1      4      8     11     75
23232SACRAMENTO, CA                   72     10      8      8      5      3      1      1      1      1      3      7      9     57
23188SAN DIEGO, CA                    71      6      6      6      4      1      0      1      0      1      2      4      6     37
23234SAN FRANCISCO AP, CA             84     10     10      9      6      3      1      1      1      1      3      7     10     62
23272SAN FRANCISCO C.O., CA           74     11     10     10      6      3      1      1      1      2      4      8     10     67
23190SANTA BARBARA, CA                75      5      6      6      2      1      0      0      1      1      2      3      5     32
23273SANTA MARIA, CA                  69      7      7      7      4      1      0      1      1      1      2      5      7     43
23237STOCKTON, CA                     69      9      8      8      5      2      0      1      1      1      3      7      7     52
23061ALAMOSA, CO                      65      3      3      5      5      5      5      8     10      6      4      3      4     61
93037COLORADO SPRINGS, CO             63      4      4      7      7     10      9     12     12      6      4      4      4     83
03017DENVER, CO                       69      5      5      8      8     10      8      9      8      6      5      5      5     82
23066GRAND JUNCTION, CO               65      6      6      7      6      6      4      4      6      6      5      5      5     66
93058PUEBLO, CO                       69      4      4      6      6      8      6      9      8      4      3      3      3     64
94702BRIDGEPORT, CT                   63     10      9     11     10     11     10      8      9      8      7      9     11    113
14740HARTFORD, CT                     57     10     10     11     11     12     11     10      9      9      9     10     11    123
13781WILMINGTON, DE                   64     10      9     10     11     11      9      9      8      8      7      9      9    110
93738WASHINGTON DULLES AP, D.C.       48      9      8     10     10     12     10     10      9      8      7      9      9    111
13743WASHINGTON NAT'L AP, D.C.        70     10      8     10     10     11      9      9      8      8      7      8      9    107
12832APALACHICOLA, FL                 61      9      8      8      6      5     10     15     14     11      5      6      8    105
12834DAYTONA BEACH, FL                68      7      7      7      5      7     12     13     13     13     10      7      7    108
12835FORT MYERS, FL                   68      5      5      5      4      7     15     17     17     15      7      4      4    105
12816GAINESVILLE, FL                  28      8      7      7      5      6     14     15     15     11      7      6      6    107
13889JACKSONVILLE, FL                 70      8      7      8      6      7     12     14     14     12      8      6      7    109
12836KEY WEST, FL                     63      6      5      5      4      7     11     12     14     15     11      6      6    102
12839MIAMI, FL                        69      6      6      6      6     10     15     16     17     17     13      8      6    126
12815ORLANDO, FL                      69      6      6      7      5      8     14     16     16     13      8      5      6    110
13899PENSACOLA, FL                    48      9      8      8      6      7     10     14     13      8      5      7      9    104
