     DATA THROUGH 2011               YRS    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC    ANN
14751HARRISBURG, PA                   53     49     54     58     59     60     65     68     67     62     58     47     44     58
14711MIDDLETOWN/HARRISBURG INTL APT   62     48     54     57     58     59     64     67     66     61     58     47     44     57
13739PHILADELPHIA, PA                 61     49     53     55     56     57     62     61     62     59     60     52     49     56
94823PITTSBURGH, PA                   49     32     36     43     46     50     55     57     56     55     51     36     28     45
14777AVOCA, PA                        41     41     47     50     53     57     61     62     61     55     52     36     34     51
14765PROVIDENCE, RI                   42     56     58     58     57     58     61     63     62     62     61     50     52     58
13880CHARLESTON AP,SC                 39     56     59     66     72     68     66     67     64     61     63     59     56     63
13883COLUMBIA, SC                     46     55     59     64     70     68     67     67     66     65     67     63     59     64
03870GREENVILLE-SPARTANBURG AP, SC    39     54     57     63     66     62     62     60     61     62     66     58     54     60
14936HURON, SD                        55     57     59     59     61     65     70     76     74     69     63     50     49     63
24090RAPID CITY, SD                   55     57     60     63     62     60     65     73     74     70     66     55     55     63
13882CHATTANOOGA, TN                  65     43     49     53     61     65     65     62     63     64     63     53     44     57
13891KNOXVILLE, TN                    57     40     47     53     63     64     65     64     63     61     61     49     40     56
13893MEMPHIS, TN                      35     50     54     56     64     69     74     74     75     69     70     58     50     64
13897NASHVILLE, TN                    55     41     47     52     59     60     65     63     63     62     62     50     42     56
13962ABILENE, TX                      49     62     64     70     72     70     78     80     78     71     72     67     62     71
23047AMARILLO, TX                     61     69     68     72     74     71     78     79     77     73     75     72     67     73
13958AUSTIN/CITY, TX                  61     49     51     55     54     56     69     74     74     66     64     54     49     60
13904AUSTIN/BERGSTROM, TX             64     49     51     55     54     56     69     75     74     66     63     56     49     60
12919BROWNSVILLE, TX                  59     41     48     53     58     63     73     80     76     68     65     51     42     60
12924CORPUS CHRISTI, TX               62     44     49     54     56     59     72     79     76     68     67     54     43     60
03927DALLAS-FORT WORTH, TX            17     52     54     58     61     57     67     75     73     67     63     57     52     61
23044EL PASO, TX                      54     78     82     86     89     90     90     82     81     83     84     83     77     84
12923GALVESTON, TX                   103     48     51     56     61     67     75     73     71     68     71     59     48     62
12960HOUSTON, TX                      27     45     50     54     58     62     68     70     68     66     64     52     51     59
23042LUBBOCK, TX                      25     65     66     73     74     71     76     77     76     71     75     69     65     72
23023MIDLAND-ODESSA, TX               22     66     69     73     78     78     81     81     77     77     72     74     65     74
12917PORT ARTHUR, TX                  26     42     52     52     52     64     69     65     63     62     67     57     47     58
